Task_Instructions,Block_type,Trial_example,TrialNumber,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,T1,T2,T2_Resp.keys,T2_Resp.corr,T2_Resp.rt,T1_Resp.keys,T1_Resp.corr,T1_Resp.rt,Task_Ender.keys,Task_Ender.rt,date,frameRate,expName,session,participant,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,0,0,0,0,Y,2,slash,0,0.852091918463,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,1,0,1,0,Y,2,slash,0,0.635495410728,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,2,0,2,0,#,2,slash,0,0.434744804586,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,3,0,3,0,#,1,z,0,0.586392779993,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,4,0,4,0,X,2,slash,0,0.300065930513,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,5,0,5,0,X,2,z,0,0.267895453751,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,6,0,6,0,X,1,z,0,0.451750853279,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,7,0,7,0,X,2,slash,0,0.452438484699,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,8,0,8,0,#,2,slash,0,0.418312261023,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,9,0,9,0,#,2,slash,0,0.300461267261,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,10,0,10,0,Y,1,slash,0,0.317165168657,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,11,0,11,0,X,2,slash,0,0.434726330905,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,12,0,12,0,Y,2,slash,0,0.518095995809,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,13,0,13,0,Y,2,slash,0,0.451801758531,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,14,0,14,0,#,1,z,0,0.451179811305,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,15,0,15,0,#,2,slash,0,0.434557194103,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,16,0,16,0,X,2,slash,0,0.400545096716,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,17,0,17,0,X,1,z,0,0.418323345231,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,18,0,18,0,Y,2,slash,0,0.368220262097,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,19,0,19,0,#,1,z,0,0.368271577874,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,20,0,20,0,Y,1,slash,0,0.30195722481,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,21,0,21,0,X,1,z,0,0.5019758627,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,22,0,22,0,Y,2,slash,0,0.550962314514,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,23,0,23,0,#,2,slash,0,0.435171751855,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,24,0,24,0,Y,2,slash,0,0.401590296475,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,25,0,25,0,Y,2,slash,0,0.452129768981,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,26,0,26,0,#,2,slash,0,0.451880169039,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,27,0,27,0,Y,1,z,0,0.517753616941,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,28,0,28,0,#,2,slash,0,0.752643994125,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,29,0,29,0,#,2,slash,0,0.502430315228,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,30,0,30,0,Y,2,slash,0,1.28749028079,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,31,0,31,0,X,1,z,0,0.569466783914,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,32,0,32,0,#,2,slash,0,0.468477744143,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,33,0,33,0,#,1,z,0,0.468168617897,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,34,0,34,0,#,1,z,0,0.635059431881,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,35,0,35,0,Y,1,z,0,0.501936041657,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,36,0,36,0,X,1,z,0,0.45099794819,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,37,0,37,0,#,1,z,0,0.434352341519,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,38,0,38,0,#,2,slash,0,0.485457929683,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,39,0,39,0,X,1,z,0,0.452603926766,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,40,0,40,0,#,1,z,0,0.469574670204,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,41,0,41,0,Y,1,z,0,0.519119848204,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,42,0,42,0,Y,1,z,0,0.501650725935,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,43,0,43,0,#,1,z,0,0.418636987262,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,44,0,44,0,Y,1,z,0,0.452566158354,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,45,0,45,0,Y,2,slash,0,0.552725114105,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,46,0,46,0,#,2,slash,0,0.4844295615,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,47,0,47,0,Y,2,slash,0,0.5687980367,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,48,0,48,0,#,2,slash,0,0.469554554418,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,49,0,49,0,X,2,slash,0,0.501623220676,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,50,0,50,0,Y,2,slash,0,0.483512856448,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,51,0,51,0,Y,2,slash,0,0.43488766771,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,52,0,52,0,Y,1,z,0,0.468482259932,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,53,0,53,0,Y,1,z,0,0.451751674331,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,54,0,54,0,X,2,slash,0,0.468464607302,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,55,0,55,0,X,2,slash,0,0.402499612053,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,56,0,56,0,Y,1,z,0,0.501616241731,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,57,0,57,0,#,1,z,0,0.45095976925,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,58,0,58,0,Y,2,slash,0,0.467780670619,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
